site,c_s,a,g,b0,i_max,t_ice,sm,ro,et,sum
Germany,420,8,0.2,0.6,20,-3,0.8916965858503105,0.7458046627517937,0.9005929225695158,2.53809417117162
Spain,210,4,0.8,0.6,20,-3,0.8916727512713373,0.7490339482987849,0.8801753080478272,2.5208820076179492
Sweden,210,8,0.2,0.6,200,-3,0.30411581209122024,-0.004571176176594013,0.8699950252526555,1.1695396611672817
