site,c_s,a,g,b0,i_max,t_ice,sm,ro,et,sum
Germany,210,2,0.8,0.4,40,-3,0.8678981936907587,0.5820536989456976,0.8815068172989793,2.3314587099354354
Germany,210,2,0.8,0.4,40,0,0.8670308193325496,0.581073034366898,0.8816957891712128,2.32979964287066
Germany,210,2,0.8,0.4,40,3,0.8606303587796561,0.5723449747302143,0.8825624270040449,2.315537760513915
Germany,210,2,0.8,0.4,200,-3,0.8674927751360628,0.5796229444141164,0.8815887829272073,2.3287045024773865
Germany,210,2,0.8,0.4,200,0,0.8666158479338825,0.5786374092092701,0.8817773056796316,2.3270305628227845
Germany,210,2,0.8,0.4,200,3,0.8601448669797749,0.5698900040489002,0.8826402692922581,2.312675140320933
Germany,210,2,0.8,0.6,20,-3,0.858398379192204,0.615332102725454,0.8625621512586873,2.3362926331763454
Germany,210,2,0.8,0.6,20,0,0.8579845654339108,0.6133554230664813,0.8629787335723963,2.3343187220727883
Germany,210,2,0.8,0.6,20,3,0.855749639530125,0.6060774973037417,0.8645833860370175,2.326410522870884
Germany,210,2,0.8,0.6,40,-3,0.8619426912285599,0.5952563867698208,0.8653456999374061,2.3225447779357866
Germany,210,2,0.8,0.6,40,0,0.8611049910795118,0.5936288183821483,0.8656778678091535,2.3204116772708137
Germany,210,2,0.8,0.6,40,3,0.8547137796574952,0.5791368678139898,0.8672181337810828,2.301068781252568
Germany,210,2,0.8,0.6,200,-3,0.8616915294184261,0.5924898822709781,0.8654289247006816,2.3196103363900855
Germany,210,2,0.8,0.6,200,0,0.8608472339699679,0.5908541210029804,0.8657602564237411,2.3174616113966895
Germany,210,2,0.8,0.6,200,3,0.8544078737654184,0.5763323973728613,0.8672939372521848,2.2980342083904644
Germany,210,2,0.8,0.8,20,-3,0.8515380240400265,0.6235314756312224,0.8416828035910007,2.3167523032622492
Germany,210,2,0.8,0.8,20,0,0.8511200076820665,0.6208167877194396,0.8423167687229056,2.314253564124412
Germany,210,2,0.8,0.8,20,3,0.8482028992402916,0.610133780669893,0.8448146162740813,2.303151296184266
Germany,210,2,0.8,0.8,40,-3,0.854424584775101,0.5982449153172046,0.8453190437601393,2.297988543852445
Germany,210,2,0.8,0.8,40,0,0.8535776002154518,0.5958813419124785,0.8458306068774958,2.295289549005426
Germany,210,2,0.8,0.8,40,3,0.8469991533575403,0.5753781649978069,0.8482306528772738,2.270607971232621
Germany,210,2,0.8,0.8,200,-3,0.8542657070132263,0.5950865231539297,0.8454054515906008,2.294757681757757
Germany,210,2,0.8,0.8,200,0,0.8534136710669573,0.592711353217328,0.8459156541849517,2.2920406784692373
Germany,210,2,0.8,0.8,200,3,0.8467987160353391,0.5721756494350476,0.8483054200652922,2.267279785535679
Germany,210,4,0.2,0.4,20,-3,0.8779476582796845,0.6041922358093753,0.8988925540347037,2.3810324481237632
Germany,210,4,0.2,0.4,20,0,0.8756459442896117,0.6036707177412791,0.8989341628243314,2.3782508248552223
Germany,210,4,0.2,0.4,20,3,0.8665723263432471,0.5994839646072163,0.8990677905217908,2.365124081472254
Germany,210,4,0.2,0.4,40,-3,0.8802469319414151,0.5896291958915331,0.8991482461752456,2.3690243740081938
Germany,210,4,0.2,0.4,40,0,0.8780656897750412,0.5893013393771297,0.8991840977380441,2.366551126890215
Germany,210,4,0.2,0.4,40,3,0.8651242286431381,0.5805139787795047,0.8993460409082217,2.3449842483308645
Germany,210,4,0.2,0.4,200,-3,0.879983204590245,0.588211824909807,0.8991606023553029,2.3673556318553546
Germany,210,4,0.2,0.4,200,0,0.877795320134316,0.5878823044950221,0.8991964434641498,2.364874068093488
Germany,210,4,0.2,0.4,200,3,0.8648097663887716,0.5790819211713136,0.8993583048943727,2.343249992454458
Germany,210,4,0.2,0.6,20,-3,0.8886688979994392,0.6208229374122582,0.8948778055638348,2.404369640975532
Germany,210,4,0.2,0.6,20,0,0.8869494591090844,0.619862227062034,0.8949492258250541,2.4017609119961727
Germany,210,4,0.2,0.6,20,3,0.8794141597854525,0.6107926434587073,0.8951675728300534,2.385374376074213
Germany,210,4,0.2,0.6,40,-3,0.8879364491824554,0.5963352765355439,0.8954655262436131,2.379737251961612
Germany,210,4,0.2,0.6,40,0,0.8862381252200047,0.5957020867084896,0.8955282418734481,2.377468453801942
Germany,210,4,0.2,0.6,40,3,0.875760243804307,0.5796921754086554,0.8957797707966927,2.351232190009655
Germany,210,4,0.2,0.6,200,-3,0.8876267421272112,0.5943913459958591,0.895482276217183,2.3775003643402535
Germany,210,4,0.2,0.6,200,0,0.8859233960547058,0.5937533950957161,0.8955449656764248,2.3752217568268468
Germany,210,4,0.2,0.6,200,3,0.8754091976249154,0.5777267112950477,0.895796239399389,2.348932148319352
Germany,210,4,0.2,0.8,20,-3,0.883157469450621,0.6156214146373049,0.8851180927293569,2.383896976817283
Germany,210,4,0.2,0.8,20,0,0.8819539160307506,0.6137670440204472,0.8852343730934846,2.3809553331446827
Germany,210,4,0.2,0.8,20,3,0.8756087096555082,0.5966983471790923,0.8855025680078794,2.3578096248424796
Germany,210,4,0.2,0.8,40,-3,0.8810317987184639,0.5798408056215696,0.8867048560518911,2.347577460391925
Germany,210,4,0.2,0.8,40,0,0.8798079427665025,0.5785947690568694,0.8868077763635552,2.345210488186927
Germany,210,4,0.2,0.8,40,3,0.8712965722260899,0.5532869932819321,0.8871010341637788,2.3116845996718007
Germany,210,4,0.2,0.8,200,-3,0.8806576084092956,0.5771829253349435,0.8867326816652936,2.3445732154095325
Germany,210,4,0.2,0.8,200,0,0.8794291967265842,0.575925443423179,0.8868355493776227,2.342190189527386
Germany,210,4,0.2,0.8,200,3,0.8708832714425638,0.5506090352245581,0.8871280009664207,2.3086203076335425
Germany,210,4,0.5,0.4,20,-3,0.8723453348872771,0.5999647786832452,0.8940796198847798,2.3663897334553017
Germany,210,4,0.5,0.4,20,0,0.8698402205564572,0.5994711330175424,0.8941891209636782,2.3635004745376778
Germany,210,4,0.5,0.4,20,3,0.8599432402894321,0.5955344979431002,0.8945502004997588,2.350027938732291
Germany,210,4,0.5,0.4,40,-3,0.8754350235253608,0.5864480258520773,0.8947071389849367,2.3565901883623748
Germany,210,4,0.5,0.4,40,0,0.8730818358211594,0.5861377297817868,0.894800431363786,2.3540199969667324
Germany,210,4,0.5,0.4,40,3,0.8591818867500236,0.577749503090989,0.8952341125374478,2.3321655023784604
Germany,210,4,0.5,0.4,200,-3,0.8752304349478087,0.5850483976902451,0.8947338085392018,2.3550126411772556
Germany,210,4,0.5,0.4,200,0,0.8728706814837917,0.5847366630055117,0.894827035650929,2.3524343801402323
Germany,210,4,0.5,0.4,200,3,0.8589281190597242,0.5763362868727323,0.8952602574970818,2.3305246634295385
Germany,210,4,0.5,0.6,20,-3,0.8819860805779224,0.6167134196173552,0.8852902497699311,2.3839897499652087
Germany,210,4,0.5,0.6,20,0,0.8798688335399273,0.6158698977722445,0.8854840681933236,2.3812227995054958
Germany,210,4,0.5,0.6,20,3,0.8707911323141062,0.6078731996340816,0.8861353007455437,2.3647996326937317
Germany,210,4,0.5,0.6,40,-3,0.8823870508485054,0.5940657684308682,0.8865163891094281,2.362969208388802
Germany,210,4,0.5,0.6,40,0,0.8803369639632117,0.5935054630874492,0.8866838266758371,2.360526253726498
Germany,210,4,0.5,0.6,40,3,0.8680331949768008,0.5789131476496914,0.8874228884472734,2.3343692310737656
Germany,210,4,0.5,0.6,200,-3,0.8821674712245515,0.592181445633615,0.8865483957497091,2.3608973126078756
Germany,210,4,0.5,0.6,200,0,0.8801124753104566,0.5916175114580272,0.8867156749548326,2.3584456617233163
Germany,210,4,0.5,0.6,200,3,0.8677753059422155,0.5770107199890177,0.8874535590639986,2.3322395849952318
Germany,210,4,0.5,0.8,20,-3,0.8833986757503925,0.6158600971744035,0.8701503129780778,2.369409085902874
Germany,210,4,0.5,0.8,20,0,0.8815730687099901,0.6144921440243786,0.870468966244821,2.3665341789791894
Germany,210,4,0.5,0.8,20,3,0.8729867195970429,0.6010797150882328,0.8715422871808985,2.3456087218661743
Germany,210,4,0.5,0.8,40,-3,0.8827802417647247,0.5842767109919607,0.8724419948129348,2.3394989475696204
Germany,210,4,0.5,0.8,40,0,0.8809838160079668,0.5833781512038366,0.8727191251287125,2.337081092340516
Germany,210,4,0.5,0.8,40,3,0.8698984247725755,0.5618910663385557,0.8738651644822674,2.3056546555933983
Germany,210,4,0.5,0.8,200,-3,0.8825517655204335,0.5817812321756528,0.8724837491310234,2.3368167468271097
Germany,210,4,0.5,0.8,200,0,0.8807512045279284,0.5808752098240103,0.8727605384830831,2.334386952835022
Germany,210,4,0.5,0.8,200,3,0.869636677206606,0.5593832973670902,0.8739038997607613,2.3029238743344576
Germany,210,4,0.8,0.4,20,-3,0.8669656956143397,0.5963254700034424,0.889348503266268,2.3526396688840503
Germany,210,4,0.8,0.4,20,0,0.8642929748991078,0.5958557994252053,0.8895294155197547,2.349678189844068
Germany,210,4,0.8,0.4,20,3,0.8537013776493215,0.5921318890300157,0.8901345226978414,2.335967789377179
Germany,210,4,0.8,0.4,40,-3,0.870789537673944,0.5836906825060177,0.890289205519379,2.3447694256993405
Germany,210,4,0.8,0.4,40,0,0.8682920145546582,0.5833960253170755,0.8904421317197234,2.342130171591457
Germany,210,4,0.8,0.4,40,3,0.8535825832957056,0.5753483756699246,0.8911668798033072,2.3200978387689375
Germany,210,4,0.8,0.4,200,-3,0.8706349968902297,0.5823072173356819,0.8903256076850814,2.343267821910993
Germany,210,4,0.8,0.4,200,0,0.8681309762131122,0.5820112973354074,0.8904783770245176,2.340620650573037
Germany,210,4,0.8,0.4,200,3,0.8533800638623236,0.5739522012545881,0.8912020677937065,2.3185343329106183
Germany,210,4,0.8,0.6,20,-3,0.8742307891885644,0.6130971346328917,0.8770176984711321,2.3643456222925883
Germany,210,4,0.8,0.6,20,0,0.8718220125069093,0.6123336957124976,0.8773369890164789,2.361492697235886
Germany,210,4,0.8,0.6,20,3,0.8615957548402924,0.60504566537164,0.8784479219768254,2.345089342188758
Germany,210,4,0.8,0.6,40,-3,0.87579847039099,0.5918792039511236,0.8786151256400209,2.3462927999821344
Germany,210,4,0.8,0.6,40,0,0.8734927117202479,0.5913724744731734,0.8788886394250333,2.3437538256184545
Germany,210,4,0.8,0.6,40,3,0.8598040878716946,0.5777715532987943,0.8801503253268738,2.317725966497363
Germany,210,4,0.8,0.6,200,-3,0.8756432883893683,0.5900481432708071,0.8786529179520678,2.344344349612243
Germany,210,4,0.8,0.6,200,0,0.8733327290067571,0.589538532149747,0.8789260785347737,2.341797339691278
Germany,210,4,0.8,0.6,200,3,0.8596125352138301,0.57592462916729,0.8801853549403328,2.315722519321453
Germany,210,4,0.8,0.8,20,-3,0.8750787431112277,0.6149189878136855,0.8591611210842434,2.3491588520091566
Germany,210,4,0.8,0.8,20,0,0.872842003792738,0.6137766179857137,0.8596703437108432,2.346288965489295
Germany,210,4,0.8,0.8,20,3,0.8626051314662064,0.6020339654702179,0.8615111204370927,2.3261502173735167
Germany,210,4,0.8,0.8,40,-3,0.8757506616698686,0.5858800478505736,0.8616535835199707,2.323284293040413
Germany,210,4,0.8,0.8,40,0,0.873580338052959,0.58512171114328,0.862093890055932,2.320795939252171
Germany,210,4,0.8,0.8,40,3,0.8605669759334162,0.5657201946882409,0.8640752667117252,2.2903624373333824
Germany,210,4,0.8,0.8,200,-3,0.8756031831044361,0.5835110916430533,0.8616934154371738,2.320807690184663
Germany,210,4,0.8,0.8,200,0,0.8734288962761071,0.5827474475689418,0.8621330258431825,2.3183093696882313
Germany,210,4,0.8,0.8,200,3,0.860388897145783,0.5633421866789212,0.8641096452997354,2.2878407291244396
Germany,210,8,0.2,0.4,20,-3,0.8474633133843521,0.5974806720809224,0.9003317276682007,2.3452757131334754
Germany,210,8,0.2,0.4,20,0,0.8438407735953888,0.5969289643299925,0.9003658327181187,2.3411355706435
Germany,210,8,0.2,0.4,20,3,0.8288067767973015,0.5912664047113938,0.9004889797288881,2.3205621612375835
Germany,210,8,0.2,0.4,40,-3,0.8464156335628206,0.5862322086109942,0.9004534375639336,2.3331012797377486
Germany,210,8,0.2,0.4,40,0,0.8429960831222256,0.5858449505393937,0.9004816069875773,2.3293226406491967
Germany,210,8,0.2,0.4,40,3,0.8242674869255368,0.5759513646499722,0.9006211017843156,2.3008399533598247
Germany,210,8,0.2,0.4,200,-3,0.8464269857035681,0.5828754690830951,0.9004532883557277,2.3297557431423908
Germany,210,8,0.2,0.4,200,0,0.8430076994891069,0.5824865211107296,0.9004814579896864,2.325975678589523
Germany,210,8,0.2,0.4,200,3,0.824280630998433,0.5725750249379395,0.9006209541354285,2.297476610071801
Germany,210,8,0.2,0.6,20,-3,0.8786583803461083,0.6066385967943996,0.8973787102630072,2.3826756874035153
Germany,210,8,0.2,0.6,20,0,0.8761069769003196,0.6057252157022577,0.8974400363190019,2.3792722289215793
Germany,210,8,0.2,0.6,20,3,0.8648013678644543,0.5944639952194085,0.8976556697924882,2.3569210328763512
Germany,210,8,0.2,0.6,40,-3,0.8782712632001451,0.5866693990072258,0.8977578329023004,2.3626984951096714
Germany,210,8,0.2,0.6,40,0,0.8757409339646615,0.5859162182427631,0.8978107578572847,2.3594679100647094
Germany,210,8,0.2,0.6,40,3,0.8619250023740829,0.5693431298991004,0.8980389040515329,2.329307036324716
Germany,210,8,0.2,0.6,200,-3,0.8782712632001451,0.5823963959506713,0.8977578329023004,2.358425492053117
Germany,210,8,0.2,0.6,200,0,0.8757409339646615,0.5816402238796635,0.8978107578572847,2.3551919157016097
Germany,210,8,0.2,0.6,200,3,0.8619250023740829,0.5650515471014513,0.8980389040515329,2.325015453527067
Germany,210,8,0.2,0.8,20,-3,0.8855345380338029,0.5956154861248243,0.8887772559941826,2.3699272801528095
Germany,210,8,0.2,0.8,20,0,0.8839906486212789,0.5942012309801771,0.8888848857903229,2.367076765391779
Germany,210,8,0.2,0.8,20,3,0.8757543826863942,0.575358074410466,0.8891208991385987,2.340233356235459
Germany,210,8,0.2,0.8,40,-3,0.8828321916163746,0.5656492247298431,0.8900138457660141,2.3384952621122315
Germany,210,8,0.2,0.8,40,0,0.8812384793235033,0.5643919938473269,0.8901078710034609,2.335738344174291
Germany,210,8,0.2,0.8,40,3,0.871339181531789,0.5397622943929469,0.8903466490753003,2.3014481250000363
Germany,210,8,0.2,0.8,200,-3,0.882899593455503,0.5620993131162079,0.8900113128946806,2.3350102194663913
Germany,210,8,0.2,0.8,200,0,0.8813068686475868,0.5608487425495408,0.8901053364341255,2.3322609476312532
Germany,210,8,0.2,0.8,200,3,0.8714139888515108,0.5363005132120776,0.8903441727717477,2.298058674835336
Germany,210,8,0.5,0.4,20,-3,0.8433340083101871,0.5953128413981716,0.897585084275607,2.3362319339839654
Germany,210,8,0.5,0.4,20,0,0.8394984349199994,0.5947836993456436,0.897671895778351,2.331954030043994
Germany,210,8,0.5,0.4,20,3,0.8235623119679106,0.5892865255958738,0.8979861660451443,2.3108350036089287
Germany,210,8,0.5,0.4,40,-3,0.8420598357319266,0.5846721197392469,0.8978818730085739,2.3246138284797473
Germany,210,8,0.5,0.4,40,0,0.8384593076942999,0.5843035513760556,0.8979530448991112,2.3207159039694667
Germany,210,8,0.5,0.4,40,3,0.8187400514108517,0.5746502771084809,0.8983083682314037,2.2916986967507365
Germany,210,8,0.5,0.4,200,-3,0.8420704625679598,0.5813526478867986,0.8978815733784776,2.321304683833236
Germany,210,8,0.5,0.4,200,0,0.8384702182794563,0.5809824884355791,0.8979527465178093,2.317405453232845
Germany,210,8,0.5,0.4,200,3,0.8187525853733763,0.5713121872807,0.8983080777778436,2.28837285043192
Germany,210,8,0.5,0.6,20,-3,0.873382307619067,0.6055588171834385,0.8908020031392427,2.3697431279417485
Germany,210,8,0.5,0.6,20,0,0.8703411627169827,0.6047112335707012,0.890960962773546,2.36601335906123
Germany,210,8,0.5,0.6,20,3,0.8568411127831435,0.5940818038914312,0.8915529477655915,2.342475864440166
Germany,210,8,0.5,0.6,40,-3,0.8731241643704505,0.5866764924571561,0.8916331979196153,2.3514338547472216
Germany,210,8,0.5,0.6,40,0,0.870159680532335,0.5859828892729039,0.8917688577624675,2.3479114275677064
Germany,210,8,0.5,0.6,40,3,0.854114496402675,0.5701630587457305,0.8923905879938682,2.3166681431422735
Germany,210,8,0.5,0.6,200,-3,0.8731241643704505,0.5824504967197319,0.8916331979196153,2.3472078590097976
Germany,210,8,0.5,0.6,200,0,0.870159680532335,0.5817541948848058,0.8917688577624675,2.3436827331796084
Germany,210,8,0.5,0.6,200,3,0.854114496402675,0.5659199153933152,0.8923905879938682,2.3124249997898585
Germany,210,8,0.5,0.8,20,-3,0.8918670889799667,0.5982607053987572,0.8765619658243499,2.366689760203074
Germany,210,8,0.5,0.8,20,0,0.889493650595814,0.5970565765566777,0.87684450048044,2.3633947276329317
Germany,210,8,0.5,0.8,20,3,0.8781135380657765,0.5807745661237507,0.8778159463486573,2.3367040505381844
Germany,210,8,0.5,0.8,40,-3,0.8898243211063477,0.569982645160279,0.8785522587632998,2.3383592250299263
Germany,210,8,0.5,0.8,40,0,0.8874538810993376,0.5689156297370326,0.8787968296853886,2.335166340521759
Germany,210,8,0.5,0.8,40,3,0.8742605238102801,0.5468875426885244,0.8797619265886857,2.30090999308749
Germany,210,8,0.5,0.8,200,-3,0.8898614629705791,0.5662688369522415,0.8785490996548916,2.334679399577712
Germany,210,8,0.5,0.8,200,0,0.8874916943425554,0.5652041535137582,0.878793694377076,2.3314895422333892
Germany,210,8,0.5,0.8,200,3,0.874302559994418,0.5432271467690881,0.8797590009897654,2.2972887077532715
Germany,210,8,0.8,0.4,20,-3,0.8392443554247637,0.5933491256684047,0.8947226229609249,2.327316104054093
Germany,210,8,0.8,0.4,20,0,0.835226039854617,0.5928408205135405,0.8948630561539228,2.3229299165220803
Germany,210,8,0.8,0.4,20,3,0.8185288356989656,0.5874961224233527,0.8953714932186367,2.3013964513409553
Germany,210,8,0.8,0.4,40,-3,0.8378989913470529,0.583251985157714,0.8951611158846727,2.3163120923894396
Germany,210,8,0.8,0.4,40,0,0.8341424322133297,0.582900717550388,0.895275558445507,2.312318708209225
Germany,210,8,0.8,0.4,40,3,0.8135685734645656,0.5734697489693049,0.8958501857163719,2.2828885081502426
Germany,210,8,0.8,0.4,200,-3,0.8379089204052281,0.579968975022516,0.8951607597083646,2.3130386551361086
Germany,210,8,0.8,0.4,200,0,0.8341526651288926,0.5796162051841588,0.8952752054466926,2.3090440757597444
Germany,210,8,0.8,0.4,200,3,0.8135805308613702,0.5701689869585868,0.8958498525737301,2.279599370393687
Germany,210,8,0.8,0.6,20,-3,0.8670180510669331,0.6045787684427026,0.8848494598434323,2.356446279353068
Germany,210,8,0.8,0.6,20,0,0.8636093885809519,0.603787045022404,0.8851058632204776,2.3525022968238334
Germany,210,8,0.8,0.6,20,3,0.8484753655678219,0.5936536100459264,0.8860825546829167,2.328211530296665
Germany,210,8,0.8,0.6,40,-3,0.8667732975244242,0.5865521106169581,0.885950988102257,2.3392763962436396
Germany,210,8,0.8,0.6,40,0,0.8634826322472843,0.5859091296775577,0.8861682901756363,2.3355600521004782
Germany,210,8,0.8,0.6,40,3,0.8457230331550367,0.5706824839206953,0.8871959109650118,2.3036014280407437
Germany,210,8,0.8,0.6,200,-3,0.8667732975244242,0.5823666657791655,0.885950988102257,2.3350909514058467
Germany,210,8,0.8,0.6,200,0,0.8634826322472843,0.5817212082187124,0.8861682901756363,2.3313721306416326
Germany,210,8,0.8,0.6,200,3,0.8457230331550367,0.5664808783878627,0.8871959109650118,2.299399822507911
Germany,210,8,0.8,0.8,20,-3,0.8839988330610999,0.5989148367924765,0.8676934903531559,2.3506071602067324
Germany,210,8,0.8,0.8,20,0,0.8810456126130171,0.5978360837023344,0.8681355514032587,2.34701724771861
Germany,210,8,0.8,0.8,20,3,0.8672303482112633,0.5828426759539892,0.8698021627790182,2.319875186944271
Germany,210,8,0.8,0.8,40,-3,0.8827755002869402,0.5726909071198468,0.8698805980419485,2.3253470054487355
Germany,210,8,0.8,0.8,40,0,0.8798717929989722,0.5717381989262061,0.8702620411846563,2.321872033109835
Germany,210,8,0.8,0.8,40,3,0.8641549171481397,0.5510026469380748,0.8719310212049084,2.287088585291123
Germany,210,8,0.8,0.8,200,-3,0.882799015628309,0.5688228150722974,0.869878497854735,2.3215003285553415
Germany,210,8,0.8,0.8,200,0,0.8798958089441008,0.5678704464675639,0.8702599865982924,2.318026242009957
Germany,210,8,0.8,0.8,200,3,0.8641819514582539,0.5471706226556362,0.8719292792174431,2.2832818533313333
Germany,420,2,0.2,0.4,20,-3,0.8230364371767923,0.60143151101244,0.8978885146542073,2.3223564628434397
Germany,420,2,0.2,0.4,20,0,0.8292092869662012,0.597822639282947,0.8979939564066906,2.3250258826558388
Germany,420,2,0.2,0.4,20,3,0.8373508250541418,0.5883264839428628,0.8982949487191622,2.323972257716167
Germany,420,2,0.2,0.4,40,-3,0.8209272521151523,0.5869230278337537,0.8981473544201375,2.3059976343690436
Germany,420,2,0.2,0.4,40,0,0.8261723374574467,0.5825896527371073,0.8982334451415398,2.306995435336094
Germany,420,2,0.2,0.4,40,3,0.8315909204137537,0.5640786546324189,0.8984960194874086,2.2941655945335815
Germany,420,2,0.2,0.4,200,-3,0.8196840419422053,0.5838068225810817,0.8981670665754579,2.301657931098745
