site,c_s,a,g,b0,i_max,t_ice,sm,ro,et,sum
Germany,420,8,0.2,0.6,20,-3,0.8876953760009796,0.6237916557155877,0.8988118145785552,2.4102988462951225
Spain,210,4,0.8,0.6,20,-3,0.9073229795975656,0.6297961833007566,0.8549208831505202,2.3920400460488422
Sweden,210,8,0.2,0.6,200,-3,-0.1119682309090635,0.0780576756924401,0.8753933197326798,0.8414827645160563
